course,openHouse,instantDecision,onCampInfo,virtualInfo,womenWhoDare,collegeFair,schoolCompsciClass,schoolCompsciClub,competitions,afterschoolCamp,summerCamp,AP,dualEnrollment,familyFriendInfluence,familyFriendWork,highschoolTeacher,employer,how_did_you_hear_about_county_college_of_morris__[ccm_web_site],age
CMP 101 Computer Information Literacy,No,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No,35-64
CMP 101 Computer Information Literacy,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,Yes,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,,,,,,,,High Impact,High Impact,,,Yes,18 and younger
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,18 and younger
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,25-34
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,,High Impact,No,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,,,No,21-24
CMP 101 Computer Information Literacy,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,Yes,Not Sure,Yes,No,Not Sure,No,High Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 135 Computer Concepts with Applications,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,25-34
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,35-64
CMP 126 Computer Technology and Applications,Not Sure,No,Yes,Yes,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,25-34
CMP 101 Computer Information Literacy,No,No,No,No,No,No,Some Impact,,Some Impact,,Some Impact,,,High Impact,High Impact,Some Impact,Some Impact,Yes,18 and younger
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No,19-20
CMP 126 Computer Technology and Applications,Yes,No,No,Not Sure,Not Sure,Not Sure,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,,,Yes,21-24
CMP 135 Computer Concepts with Applications,Not Sure,No,No,No,No,No,High Impact,,,,,High Impact,,Some Impact,,,,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No,21-24
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,No Impact,,,,,,,,,,Yes,25-34
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,25-34
CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No,19-20
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,High Impact,,,,,,,,,,,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,18 and younger
CMP 126 Computer Technology and Applications,Yes,No,Yes,Yes,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,Yes,19-20
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 126 Computer Technology and Applications,Yes,No,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,Yes,No,No,No,Some Impact,,,,,,,,,,,No,21-24
CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Some Impact,,,,,,,,,Some Impact,No Impact,Yes,21-24
CMP 126 Computer Technology and Applications,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,35-64
CMP 101 Computer Information Literacy,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,35-64
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,,,,,,,,,,,,No,19-20
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,25-34
CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,35-64
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,21-24
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No,19-20
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,,No Impact,Yes,19-20
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,35-64
CMP 126 Computer Technology and Applications,No,No,No,No,No,No,,,,,,,,,,,,No,25-34
CMP 101 Computer Information Literacy,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No,21-24
CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,19-20
CMP 126 Computer Technology and Applications,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,19-20
CMP 101 Computer Information Literacy,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,19-20
CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,21-24
